  PERMNO        date           msft        vwretd        ewretd        sprtrn
   10107    20020122      -0.024811     -0.007805     -0.008101     -0.007334
   10107    20020123      -0.011170      0.008865      0.007762      0.007925
   10107    20020124       0.013492      0.004033      0.005587      0.003519
   10107    20020125      -0.012384      0.000944      0.000237      0.000998
   10107    20020128       0.000313      0.000106      0.000445     -0.000194
   10107    20020129      -0.023504     -0.025338     -0.011386     -0.028613
   10107    20020130       0.008504      0.010234      0.003630      0.011748
   10107    20020131       0.013683      0.013194      0.009543      0.014934
   10107    20020201      -0.016481     -0.006417     -0.002154     -0.007078
   10107    20020204      -0.024577     -0.023838     -0.016156     -0.024737
   10107    20020205       0.000491     -0.004851     -0.007864     -0.004039
   10107    20020206      -0.012265     -0.007193     -0.009993     -0.005972
   10107    20020207      -0.009934     -0.003549     -0.005935     -0.003083
   10107    20020208       0.014214      0.015800      0.011971      0.014859
   10107    20020211       0.007914      0.013410      0.007842      0.014340
   10107    20020212      -0.016195     -0.003410     -0.000153     -0.003993
   10107    20020213       0.027935      0.009545      0.005813      0.009941
   10107    20020214      -0.002265     -0.002465     -0.004788     -0.001815
   10107    20020215      -0.023508     -0.010284     -0.003774     -0.011017
   10107    20020219      -0.021584     -0.018874     -0.014655     -0.018874
   10107    20020220       0.016460      0.012889      0.004968      0.013514
   10107    20020221      -0.030885     -0.014502     -0.008789     -0.015510
   10107    20020222      -0.001034      0.007242      0.003895      0.008224
   10107    20020225       0.018796      0.016488      0.005126      0.017975
   10107    20020226      -0.008971      0.001061      0.003447     -0.000045
   10107    20020227      -0.002733      0.001083      0.002708      0.000460
   10107    20020228      -0.000856     -0.002908     -0.001050     -0.002847
   10107    20020301       0.051937      0.021873      0.012219      0.022634
   10107    20020304       0.031449      0.020409      0.015146      0.019491
   10107    20020305      -0.003475     -0.004816      0.002754     -0.006673
   10107    20020306       0.008719      0.013940      0.012605      0.014510
   10107    20020307      -0.014301     -0.003780      0.003764     -0.004498
   10107    20020308       0.019611      0.006926      0.008687      0.005849
   10107    20020311       0.006098      0.002789      0.004547      0.003393
   10107    20020312      -0.027976     -0.002864     -0.002666     -0.002294
   10107    20020313      -0.007036     -0.009092     -0.003446     -0.009858
   10107    20020314      -0.014171     -0.000020      0.003730     -0.000910
   10107    20020315       0.020745      0.010227      0.004629      0.011379
   10107    20020318      -0.005601      0.001272      0.004768     -0.000523
   10107    20020319       0.001448      0.003375      0.002590      0.004067
   10107    20020320      -0.034228     -0.014415     -0.005623     -0.015757
   10107    20020321       0.020965      0.003147      0.006352      0.001511
   10107    20020322      -0.014831     -0.004247     -0.000429     -0.004239
   10107    20020325      -0.020182     -0.014347     -0.007031     -0.014651
   10107    20020326      -0.002532      0.005783      0.004707      0.005849
   10107    20020327       0.006093      0.005504      0.005685      0.005349
   10107    20020328       0.014637      0.003009      0.005548      0.002455
   10107    20020401       0.001161     -0.001033     -0.001193     -0.000741
   10107    20020402      -0.051010     -0.008654     -0.004700     -0.008530
   10107    20020403      -0.016928     -0.009503     -0.005966     -0.009993
   10107    20020404       0.002130      0.000921      0.000767      0.000835
   10107    20020405      -0.010275     -0.002539     -0.000043     -0.003205
   10107    20020408       0.024163      0.002958      0.002514      0.002280
   10107    20020409      -0.041070     -0.005546     -0.001593     -0.006656
   10107    20020410       0.026062      0.011465      0.008543      0.011335
   10107    20020411      -0.026821     -0.021317     -0.010047     -0.023689
   10107    20020412       0.020807      0.008222      0.011353      0.006632
   10107    20020415      -0.004291     -0.005993     -0.001132     -0.007615
   10107    20020416       0.038068      0.021963      0.016456      0.023418
   10107    20020417      -0.020412     -0.001974      0.001004     -0.002038
   10107    20020418      -0.004591     -0.001513      0.003124     -0.001421
   10107    20020419       0.014724      0.000729      0.002048      0.000623
   10107    20020422      -0.028147     -0.014742     -0.008461     -0.015411
   10107    20020423      -0.028782     -0.005270     -0.001445     -0.006201
   10107    20020424      -0.017966     -0.006107     -0.002370     -0.007103
   10107    20020425       0.013391     -0.001795     -0.002208     -0.001519
   10107    20020426      -0.041504     -0.013430     -0.009094     -0.013889
   10107    20020429       0.014369     -0.008794     -0.006308     -0.010099
   10107    20020430       0.000383      0.012118      0.009809      0.010765
   10107    20020501       0.009376      0.007504      0.001008      0.008859
   10107    20020502      -0.029194     -0.001702      0.000093     -0.001749
   10107    20020503      -0.032220     -0.008915     -0.001775     -0.010262
   10107    20020506      -0.018967     -0.018282     -0.011319     -0.019340
   10107    20020507       0.017483     -0.003718     -0.005558     -0.003021
   10107    20020508       0.111178      0.034475      0.019042      0.037504
   10107    20020509      -0.051847     -0.013944     -0.008017     -0.014547
   10107    20020510      -0.039716     -0.015380     -0.008235     -0.016794
   10107    20020513       0.052747      0.017045      0.007366      0.018550
   10107    20020514       0.041564      0.020941      0.015261      0.021144
   10107    20020515      -0.002369     -0.003356      0.000829     -0.005659
   10107    20020516       0.018082      0.003511     -0.000967      0.006562
   10107    20020517       0.005203      0.006949      0.003753      0.007612
   10107    20020520      -0.036052     -0.011928     -0.005644     -0.013293
   10107    20020521      -0.033697     -0.011145     -0.008594     -0.010990
   10107    20020522       0.028741      0.003691     -0.002238      0.005686
   10107    20020523       0.021047      0.010483      0.007425      0.010184
   10107    20020524      -0.028457     -0.011308     -0.004770     -0.012087
   10107    20020528      -0.017649     -0.006822     -0.001733     -0.008553
   10107    20020529      -0.005161     -0.006587     -0.005691     -0.006412
   10107    20020530       0.011335     -0.002311     -0.000976     -0.002810
   10107    20020531      -0.032865      0.002110      0.003404      0.002329
   10107    20020603      -0.029267     -0.023899     -0.017752     -0.024795
   10107    20020604       0.011331     -0.001435     -0.003785      0.000010
   10107    20020605       0.033613      0.007668      0.000200      0.008850
   10107    20020606       0.004646     -0.018334     -0.014824     -0.019764
   10107    20020607       0.001541     -0.000228      0.001636     -0.001574
   10107    20020610       0.016160      0.001734     -0.002960      0.003124
   10107    20020611      -0.004733     -0.015949     -0.008842     -0.016629
   10107    20020612       0.056496      0.004640     -0.004264      0.006571
   10107    20020613      -0.023767     -0.010332     -0.006959     -0.010488
   10107    20020614       0.018997     -0.000920      0.000334     -0.002268
   10107    20020617       0.007783      0.026845      0.014616      0.028691
   10107    20020618       0.005568      0.000338     -0.000402      0.000936
   10107    20020619      -0.029112     -0.015506     -0.014483     -0.016536
   10107    20020620      -0.004783     -0.012605     -0.003521     -0.013432
   10107    20020621      -0.033641     -0.014396     -0.002232     -0.017043
   10107    20020624       0.035960      0.001286     -0.005019      0.003619
   10107    20020625      -0.022341     -0.015442     -0.007741     -0.016702
   10107    20020626       0.022285     -0.003259     -0.008433     -0.002674
   10107    20020627       0.014594      0.016339      0.011496      0.017575
   10107    20020628      -0.004006      0.002093      0.011962     -0.000838
   10107    20020701      -0.037294     -0.021975     -0.018510     -0.021378
   10107    20020702      -0.023168     -0.022420     -0.022557     -0.021225
   10107    20020703       0.020023      0.003620     -0.004777      0.006223
   10107    20020705       0.045359      0.034435      0.022114      0.036730
   10107    20020708      -0.035187     -0.011246     -0.007741     -0.012184
   10107    20020709       0.005480     -0.021884     -0.006818     -0.024719
   10107    20020710      -0.018230     -0.029820     -0.016331     -0.033962
   10107    20020711       0.012825      0.005021     -0.004136      0.007496
   10107    20020712      -0.019845     -0.005820     -0.001544     -0.006448
   10107    20020715      -0.001157     -0.004881     -0.010128     -0.003755
   10107    20020716      -0.010618     -0.014202     -0.000385     -0.018389
   10107    20020717       0.014634      0.005968      0.005131      0.005538
   10107    20020718      -0.017115     -0.025067     -0.013686     -0.027019
   10107    20020719      -0.030327     -0.032928     -0.019195     -0.038341
   10107    20020722      -0.065577     -0.032104     -0.021154     -0.032922
   10107    20020723      -0.071259     -0.029560     -0.031139     -0.027017
   10107    20020724       0.074866      0.052329      0.017954      0.057315
   10107    20020725      -0.073545     -0.005711     -0.003157     -0.005620
   10107    20020726       0.058837      0.014900      0.007119      0.016884
   10107    20020729       0.063947      0.053158      0.034957      0.054078
   10107    20020730      -0.003109      0.004749      0.005459      0.004249
   10107    20020731      -0.002495      0.005625     -0.003660      0.009792
   10107    20020801      -0.046478     -0.025851     -0.008909     -0.029574
   10107    20020802      -0.029290     -0.022518     -0.017869     -0.023082
   10107    20020805      -0.009457     -0.032876     -0.021302     -0.034296
   10107    20020806       0.038190      0.030123      0.021542      0.029919
   10107    20020807       0.031093      0.016787      0.004274      0.020010
   10107    20020808       0.038649      0.029333      0.010702      0.032722
   10107    20020809      -0.016152      0.003404      0.002449      0.003512
   10107    20020812       0.007274     -0.003856      0.000035     -0.005327
   10107    20020813      -0.029297     -0.020233     -0.011727     -0.021675
   10107    20020814       0.056536      0.035455      0.016210      0.040047
   10107    20020815       0.001207      0.011742      0.004772      0.011559
   10107    20020816       0.004621      0.000814      0.006803     -0.001591
   10107    20020819       0.040000      0.020989      0.011822      0.023633
   10107    20020820      -0.018462     -0.012103     -0.004417     -0.013979
   10107    20020821       0.024295      0.013572      0.016576      0.012726
   10107    20020822       0.018171      0.012743      0.011882      0.014052
   10107    20020823      -0.018974     -0.021593     -0.009216     -0.022686
   10107    20020826      -0.002298      0.008397      0.010799      0.007536
   10107    20020827      -0.024184     -0.014292     -0.010767     -0.013851
   10107    20020828      -0.028718     -0.017662     -0.013288     -0.018132
   10107    20020829       0.024301      0.001898      0.003511     -0.000076
   10107    20020830      -0.029656     -0.002305      0.002642     -0.001885
   10107    20020903      -0.041972     -0.038205     -0.023480     -0.041536
   10107    20020904       0.025308      0.017211      0.011838      0.017517
   10107    20020905      -0.047708     -0.015446     -0.013083     -0.015950
   10107    20020906       0.041603      0.017536      0.014916      0.016800
   10107    20020909       0.018402      0.008654      0.000346      0.010113
   10107    20020910       0.022382      0.006445      0.002800      0.007331
   10107    20020911      -0.024302      0.000665      0.002429     -0.000143
   10107    20020912      -0.029436     -0.022887     -0.010854     -0.024784
   10107    20020913       0.016119      0.003234      0.002254      0.003270
   10107    20020916      -0.002713     -0.000154     -0.006230      0.001450
   10107    20020917      -0.010255     -0.018422     -0.012222     -0.019728
   10107    20020918       0.009727     -0.005133     -0.006676     -0.004648
   10107    20020919      -0.011518     -0.028746     -0.017938     -0.030065
   10107    20020920       0.005508      0.002184      0.000695      0.002455
   10107    20020923      -0.046987     -0.014826     -0.019453     -0.013828
