 DATE        PS_LEVEL        PS_INNOV          PS_VWF
19850830     0.028969314     0.038606551     0.026345253
19850930    -0.022411428    -0.008583819     0.010978402
19851031    -0.016608705    -0.008903146     0.049047925
19851129    -0.002016276     0.027579112     0.004979427
19851231    -0.011356579     0.029481786    -0.020272355
19860131    -0.065521789    -0.031453528     0.020310596
19860228    -0.009211296     0.021990149     0.000746023
19860331     0.007951281     0.045464234     0.036785814
19860430      0.02938251      0.02563767    -0.002574359
19860530     0.004684973     0.021890276     0.022069214
19860630    -0.069847688    -0.062228739     0.049948474
19860731    -0.004261169     0.021554735    -0.012519464
19860829    -0.026201335     0.013623837    -0.021968976
19860930    -0.005347399    -0.023771383     0.045120117
19861031     0.040146295     0.065702603     0.018103755
19861128     0.016574595     0.023468427    -0.029526194
19861231      0.01129851     0.035060125    -0.007154495
19870130     -0.02906233    -0.007357871    -0.071797072
19870227     0.005439631     0.027559163    -0.039791198
19870331    -0.023641863     0.018401441    -0.017137196
19870430    -0.126322684    -0.107446015    -0.040554407
19870529     0.005895904     0.033152905     0.009954667
19870630     0.008100339     0.057942326     0.026701148
19870731     0.016391733    -0.028166787     0.004478087
19870831    -0.002212639     0.015711316    -0.056095233
19870930     -0.03012279    -0.038600252     0.002251011
19871030    -0.461006635    -0.383662932     0.055070917
19871130    -0.024268475    -0.068996749    -0.017544224
19871231    -0.102085889    -0.025479052     0.001863272
19880129     -0.11093769    -0.072309596     0.039317918
19880229    -0.033424961     0.063458975     0.002018731
19880331    -0.030570298     0.026668561    -0.021569006
19880429     0.008880095     0.030690026    -0.023085767
19880531     -0.06853687     0.000254019    -0.003307423
19880630     0.007002899     0.020837496    -0.012415975
19880729     0.016833663     0.033711459    -0.011189013
19880831    -0.025814135     0.027822699     0.034155783
19880930    -0.022907456     0.003661762     0.014297748
19881031    -0.043188866     0.004898392     0.026170001
19881130    -0.065589906     -0.00606816    -0.001175243
19881230    -0.024276894     0.003143747    -0.043138658
19890131     0.018213379     0.075675756    -0.008319581
19890228    -0.002578876     0.013998616    -0.001678006
19890331     0.000236276     0.009083135      -0.0143366
19890428    -0.021552196    -0.001303011    -0.018021858
19890531      0.04316472     0.050084835    -0.035934379
19890630    -0.003383504       0.0026972     0.068106821
19890731     0.017373333     0.026174603     0.025053568
19890831    -0.084886662    -0.051642788     0.008166585
19890929     0.027785413     0.018067142    -0.050696227
19891031    -0.157862003    -0.111877975     0.024637567
19891130    -0.009830392     0.018732196    -0.019318743
19891229    -0.021630182     0.008953594     0.022149687
19900131    -0.023188345     -0.00317674    -0.036649133
19900228    -0.004558274       0.0276916    -0.031401087
19900330    -0.022161198     0.036681809    -0.025729537
19900430     0.010490197      0.01121594     0.060966021
19900531      0.01134741     0.011929981    -0.010024433
19900629     0.002401438    -0.000700673     0.025880858
19900731    -0.031723661    -0.012894552     0.052746136
19900831     0.029455321      0.01373066     0.044896617
19900928    -0.015681689     0.063635125     0.023601792
19901031     0.053710324     0.050336888    -0.016002993
19901130     0.030115084     0.017113654    -0.014972433
19901231    -0.055580246    -0.031063869    -0.036438611
19910131     0.038957556      0.02316779    -0.092496842
19910228    -0.021173361    -0.036094046    -0.019065636
19910328    -0.026115824    -0.022396921     -0.00565914
19910430     0.006464405     0.045866301     0.021332493
19910531    -0.005935594     0.001650271    -0.007937645
19910628     0.041703164     0.051737254     0.028188804
