PERMNO        date           nflx        vwretd        ewretd        sprtrn
   89393    20100225       0.014222     -0.000715     -0.000977     -0.002081
   89393    20100226       0.006706      0.001851      0.001597      0.001405
   89393    20100301       0.055261      0.011972      0.012952      0.010159
   89393    20100302      -0.010330      0.004406      0.007842      0.002330
   89393    20100303      -0.020731      0.001601      0.002859      0.000429
   89393    20100304       0.006810      0.003093      0.004644      0.003736
   89393    20100305      -0.005293      0.014478      0.015175      0.014008
   89393    20100308       0.015225      0.000735      0.003796     -0.000176
   89393    20100309       0.018346      0.001687      0.002511      0.001713
   89393    20100310       0.019159      0.005052      0.006236      0.004525
   89393    20100311      -0.001263      0.003972      0.003270      0.004042
   89393    20100312      -0.016997      0.000743      0.000601     -0.000217
   89393    20100315      -0.005430     -0.000685     -0.003177      0.000452
   89393    20100316       0.014799      0.008738      0.007168      0.007779
   89393    20100317       0.004106      0.005597      0.004720      0.005822
   89393    20100318      -0.005358     -0.002025     -0.002675     -0.000326
   89393    20100319      -0.001276     -0.006887     -0.007943     -0.005087
   89393    20100322       0.034635      0.005857      0.006290      0.005095
   89393    20100323       0.000960      0.007664      0.008460      0.007171
   89393    20100324      -0.008087     -0.006608     -0.005124     -0.005493
   89393    20100325       0.016167     -0.002439     -0.003449     -0.001704
   89393    20100326       0.010335      0.000649      0.000860      0.000738
   89393    20100329      -0.005384      0.006781      0.005706      0.005683
   89393    20100330       0.015697      0.000456      0.001620      0.000043
   89393    20100331      -0.017586     -0.002771     -0.002941     -0.003273
   89393    20100401       0.017087      0.008643      0.006961      0.007414
   89393    20100405       0.066533      0.009537      0.013157      0.007928
   89393    20100406       0.042255      0.002104      0.005226      0.001684
   89393    20100407      -0.043661     -0.005357     -0.000953     -0.005877
   89393    20100408       0.026339      0.002841      0.002693      0.003374
   89393    20100409       0.007210      0.006695      0.005845      0.006684
   89393    20100412       0.009221      0.001783      0.003880      0.001767
   89393    20100413       0.038471      0.000735      0.001568      0.000685
   89393    20100414       0.013776      0.012321      0.014968      0.011150
   89393    20100415      -0.008450      0.000094      0.002761      0.000843
   89393    20100416      -0.017506     -0.016102     -0.010972     -0.016127
   89393    20100419      -0.005978      0.002259     -0.002911      0.004521
   89393    20100420       0.026769      0.009800      0.011963      0.008058
   89393    20100421      -0.001034     -0.000545      0.002920     -0.001019
   89393    20100422       0.152564      0.003579      0.007550      0.002264
   89393    20100423      -0.005187      0.007440      0.010052      0.007124
   89393    20100426       0.084628     -0.003209      0.002661     -0.004296
   89393    20100427      -0.056393     -0.023834     -0.018843     -0.023382
   89393    20100428      -0.026256      0.005231      0.001557      0.006463
   89393    20100429       0.038032      0.013618      0.013165      0.012943
   89393    20100430      -0.041388     -0.016824     -0.015029     -0.016648
   89393    20100503       0.031244      0.012861      0.011350      0.013121
   89393    20100504      -0.025787     -0.025346     -0.023949     -0.023838
   89393    20100505      -0.011373     -0.009192     -0.013600     -0.006561
   89393    20100506      -0.012827     -0.032544     -0.033685     -0.032378
   89393    20100507      -0.060637     -0.015837     -0.016989     -0.015308
   89393    20100510       0.070425      0.044894      0.042804      0.043974
   89393    20100511       0.023742     -0.000931      0.004202     -0.003397
   89393    20100512       0.080244      0.016244      0.019124      0.013740
   89393    20100513       0.020217     -0.010841     -0.004875     -0.012145
   89393    20100514      -0.085901     -0.019384     -0.018568     -0.018800
   89393    20100517       0.057578     -0.000563     -0.003146      0.001109
   89393    20100518      -0.040809     -0.013634     -0.012871     -0.014196
   89393    20100519      -0.013724     -0.007144     -0.013290     -0.005130
   89393    20100520      -0.055859     -0.040348     -0.039086     -0.038976
   89393    20100521       0.047163      0.015276      0.011578      0.015024
   89393    20100524       0.021615     -0.012030     -0.006556     -0.012908
   89393    20100525       0.033261     -0.000157     -0.006476      0.000354
   89393    20100526      -0.001905     -0.002870      0.004575     -0.005661
   89393    20100527       0.038740      0.035090      0.033655      0.032876
   89393    20100528       0.021036     -0.011745     -0.006630     -0.012375
   89393    20100601      -0.034728     -0.018500     -0.020678     -0.017165
   89393    20100602       0.032530      0.026559      0.020297      0.025843
   89393    20100603       0.009658      0.004793      0.005511      0.004051
   89393    20100604      -0.018507     -0.035851     -0.032259     -0.034411
   89393    20100607      -0.005648     -0.014001     -0.018182     -0.013532
   89393    20100608       0.010718      0.009216     -0.001221      0.010976
   89393    20100609       0.046225     -0.003829     -0.000242     -0.005942
   89393    20100610       0.027982      0.029493      0.024915      0.029507
   89393    20100611       0.017108      0.006185      0.009444      0.004380
   89393    20100614       0.050708      0.000012      0.004188     -0.001805
   89393    20100615      -0.026102      0.023845      0.019397      0.023494
   89393    20100616       0.009474     -0.001212     -0.001970     -0.000556
   89393    20100617       0.009545      0.000907     -0.000032      0.001283
   89393    20100618       0.004449      0.001705      0.002944      0.001317
   89393    20100621      -0.058772     -0.004316     -0.006310     -0.003857
   89393    20100622      -0.021514     -0.016131     -0.013867     -0.016071
   89393    20100623       0.011509     -0.002925     -0.001877     -0.002985
   89393    20100624      -0.021398     -0.016248     -0.012404     -0.016803
   89393    20100625       0.023688      0.006049      0.010275      0.002859
   89393    20100628      -0.003136     -0.003123     -0.004657     -0.002034
   89393    20100629      -0.042768     -0.032865     -0.031187     -0.031017
   89393    20100630      -0.034909     -0.008942     -0.005541     -0.010113
   89393    20100701       0.009296     -0.003937     -0.007599     -0.003240
   89393    20100702      -0.023527     -0.004746     -0.004368     -0.004662
   89393    20100706       0.001774      0.003313     -0.006419      0.005359
   89393    20100707       0.104596      0.030874      0.021937      0.031331
   89393    20100708      -0.012744      0.009559      0.010041      0.009413
   89393    20100709       0.004736      0.008900      0.011698      0.007204
   89393    20100712       0.015706     -0.001339     -0.005483      0.000733
   89393    20100713       0.012900      0.017184      0.021561      0.015379
   89393    20100714       0.017201     -0.000637     -0.001089     -0.000155
   89393    20100715      -0.015366      0.000420     -0.003627      0.001196
   89393    20100716      -0.022459     -0.028521     -0.024131     -0.028820
